Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,9,158,5,Some Random Commen with Id 0
1,1,9,172,2,Some Random Commen with Id 1
2,1,9,138,3,Some Random Commen with Id 2
3,1,9,138,0,Some Random Commen with Id 3
4,1,9,88,3,Some Random Commen with Id 4
5,1,9,168,3,Some Random Commen with Id 5
6,2,6,94,7,Some Random Commen with Id 6
7,2,6,126,8,Some Random Commen with Id 7
8,2,6,75,7,Some Random Commen with Id 8
9,3,6,180,0,Some Random Commen with Id 9
10,3,6,143,6,Some Random Commen with Id 10
11,3,6,192,1,Some Random Commen with Id 11
12,4,1,35,4,Some Random Commen with Id 12
13,4,1,195,5,Some Random Commen with Id 13
14,4,1,37,4,Some Random Commen with Id 14
15,4,1,112,9,Some Random Commen with Id 15
16,4,1,14,0,Some Random Commen with Id 16
17,4,1,61,6,Some Random Commen with Id 17
18,4,1,25,2,Some Random Commen with Id 18
19,4,1,119,6,Some Random Commen with Id 19
20,5,2,90,7,Some Random Commen with Id 20
21,5,2,77,3,Some Random Commen with Id 21
22,5,2,96,4,Some Random Commen with Id 22
23,5,2,157,2,Some Random Commen with Id 23
24,5,2,34,0,Some Random Commen with Id 24
25,5,2,117,7,Some Random Commen with Id 25
26,5,2,37,2,Some Random Commen with Id 26
27,6,6,100,2,Some Random Commen with Id 27
28,6,6,158,7,Some Random Commen with Id 28
29,6,6,117,4,Some Random Commen with Id 29
30,6,6,105,2,Some Random Commen with Id 30
31,6,6,131,8,Some Random Commen with Id 31
32,6,6,111,0,Some Random Commen with Id 32
33,6,6,56,4,Some Random Commen with Id 33
34,6,6,50,4,Some Random Commen with Id 34
35,6,6,101,7,Some Random Commen with Id 35
36,8,7,174,1,Some Random Commen with Id 36
37,8,7,135,3,Some Random Commen with Id 37
38,8,7,65,3,Some Random Commen with Id 38
39,8,7,55,4,Some Random Commen with Id 39
40,8,7,103,5,Some Random Commen with Id 40
41,8,7,164,9,Some Random Commen with Id 41
42,8,7,35,1,Some Random Commen with Id 42
43,9,0,47,4,Some Random Commen with Id 43
44,9,0,29,6,Some Random Commen with Id 44
45,9,0,70,2,Some Random Commen with Id 45
46,9,0,176,1,Some Random Commen with Id 46
47,10,9,104,3,Some Random Commen with Id 47
48,10,9,36,0,Some Random Commen with Id 48
49,11,9,28,8,Some Random Commen with Id 49
50,11,9,180,2,Some Random Commen with Id 50
51,11,9,24,8,Some Random Commen with Id 51
52,11,9,138,4,Some Random Commen with Id 52
53,11,9,97,7,Some Random Commen with Id 53
54,11,9,32,1,Some Random Commen with Id 54
55,12,0,194,0,Some Random Commen with Id 55
56,12,0,50,3,Some Random Commen with Id 56
57,13,7,98,5,Some Random Commen with Id 57
58,13,7,75,8,Some Random Commen with Id 58
59,13,7,155,6,Some Random Commen with Id 59
60,13,7,90,4,Some Random Commen with Id 60
61,13,7,128,4,Some Random Commen with Id 61
62,13,7,15,0,Some Random Commen with Id 62
63,13,7,11,5,Some Random Commen with Id 63
64,13,7,131,7,Some Random Commen with Id 64
65,13,7,46,6,Some Random Commen with Id 65
66,14,0,129,0,Some Random Commen with Id 66
67,14,0,188,6,Some Random Commen with Id 67
68,14,0,184,6,Some Random Commen with Id 68
69,14,0,153,2,Some Random Commen with Id 69
70,14,0,120,4,Some Random Commen with Id 70
71,16,9,61,9,Some Random Commen with Id 71
72,16,9,53,5,Some Random Commen with Id 72
73,16,9,37,9,Some Random Commen with Id 73
74,17,6,31,2,Some Random Commen with Id 74
75,17,6,189,7,Some Random Commen with Id 75
76,17,6,48,9,Some Random Commen with Id 76
77,18,3,131,3,Some Random Commen with Id 77
78,18,3,98,6,Some Random Commen with Id 78
79,18,3,139,5,Some Random Commen with Id 79
80,18,3,17,1,Some Random Commen with Id 80
81,18,3,47,2,Some Random Commen with Id 81
82,19,5,105,6,Some Random Commen with Id 82
83,19,5,16,0,Some Random Commen with Id 83
84,19,5,58,5,Some Random Commen with Id 84
85,19,5,42,4,Some Random Commen with Id 85
86,19,5,46,5,Some Random Commen with Id 86
87,19,5,54,4,Some Random Commen with Id 87
88,19,5,7,8,Some Random Commen with Id 88
89,19,5,89,4,Some Random Commen with Id 89
90,19,5,17,4,Some Random Commen with Id 90
91,20,4,65,1,Some Random Commen with Id 91
92,20,4,24,5,Some Random Commen with Id 92
93,20,4,18,9,Some Random Commen with Id 93
94,20,4,173,1,Some Random Commen with Id 94
95,20,4,30,6,Some Random Commen with Id 95
96,20,4,44,4,Some Random Commen with Id 96
97,20,4,78,4,Some Random Commen with Id 97
98,20,4,123,5,Some Random Commen with Id 98
99,20,4,62,0,Some Random Commen with Id 99
100,21,5,120,4,Some Random Commen with Id 100
101,21,5,176,6,Some Random Commen with Id 101
102,21,5,83,0,Some Random Commen with Id 102
103,21,5,24,6,Some Random Commen with Id 103
104,21,5,176,8,Some Random Commen with Id 104
105,21,5,25,7,Some Random Commen with Id 105
106,21,5,80,7,Some Random Commen with Id 106
107,22,4,189,5,Some Random Commen with Id 107
108,22,4,170,8,Some Random Commen with Id 108
109,23,4,177,8,Some Random Commen with Id 109
110,23,4,44,5,Some Random Commen with Id 110
111,23,4,42,5,Some Random Commen with Id 111
112,23,4,70,9,Some Random Commen with Id 112
113,23,4,79,4,Some Random Commen with Id 113
114,24,4,132,5,Some Random Commen with Id 114
115,24,4,24,0,Some Random Commen with Id 115
116,24,4,128,1,Some Random Commen with Id 116
117,24,4,137,6,Some Random Commen with Id 117
118,24,4,146,0,Some Random Commen with Id 118
119,24,4,101,8,Some Random Commen with Id 119
120,26,4,138,1,Some Random Commen with Id 120
121,26,4,20,6,Some Random Commen with Id 121
122,26,4,105,2,Some Random Commen with Id 122
123,26,4,46,6,Some Random Commen with Id 123
124,26,4,195,2,Some Random Commen with Id 124
125,27,7,166,4,Some Random Commen with Id 125
126,27,7,98,0,Some Random Commen with Id 126
127,28,4,72,2,Some Random Commen with Id 127
128,29,9,105,0,Some Random Commen with Id 128
129,29,9,191,8,Some Random Commen with Id 129
130,29,9,27,2,Some Random Commen with Id 130
131,29,9,84,3,Some Random Commen with Id 131
132,29,9,158,9,Some Random Commen with Id 132
133,30,6,114,5,Some Random Commen with Id 133
134,30,6,79,2,Some Random Commen with Id 134
135,30,6,137,3,Some Random Commen with Id 135
136,30,6,192,2,Some Random Commen with Id 136
137,30,6,158,1,Some Random Commen with Id 137
138,30,6,185,8,Some Random Commen with Id 138
139,30,6,169,2,Some Random Commen with Id 139
140,31,6,41,2,Some Random Commen with Id 140
141,31,6,65,8,Some Random Commen with Id 141
142,31,6,60,2,Some Random Commen with Id 142
143,31,6,10,5,Some Random Commen with Id 143
144,31,6,118,5,Some Random Commen with Id 144
145,32,8,75,8,Some Random Commen with Id 145
146,32,8,110,5,Some Random Commen with Id 146
147,32,8,27,6,Some Random Commen with Id 147
148,32,8,15,2,Some Random Commen with Id 148
149,33,3,182,5,Some Random Commen with Id 149
150,33,3,143,2,Some Random Commen with Id 150
151,33,3,147,6,Some Random Commen with Id 151
152,33,3,50,2,Some Random Commen with Id 152
153,33,3,163,7,Some Random Commen with Id 153
154,33,3,174,0,Some Random Commen with Id 154
155,33,3,75,5,Some Random Commen with Id 155
156,34,0,24,2,Some Random Commen with Id 156
157,34,0,98,7,Some Random Commen with Id 157
158,34,0,141,4,Some Random Commen with Id 158
159,35,7,186,8,Some Random Commen with Id 159
160,36,7,54,1,Some Random Commen with Id 160
161,36,7,34,2,Some Random Commen with Id 161
162,36,7,25,2,Some Random Commen with Id 162
163,36,7,124,3,Some Random Commen with Id 163
164,36,7,145,2,Some Random Commen with Id 164
165,36,7,33,7,Some Random Commen with Id 165
166,36,7,119,7,Some Random Commen with Id 166
167,36,7,3,8,Some Random Commen with Id 167
168,37,6,114,2,Some Random Commen with Id 168
169,38,7,171,4,Some Random Commen with Id 169
170,38,7,176,7,Some Random Commen with Id 170
171,38,7,6,5,Some Random Commen with Id 171
172,38,7,18,1,Some Random Commen with Id 172
173,38,7,106,8,Some Random Commen with Id 173
174,38,7,119,2,Some Random Commen with Id 174
175,38,7,95,9,Some Random Commen with Id 175
176,38,7,197,0,Some Random Commen with Id 176
177,39,1,174,5,Some Random Commen with Id 177
178,39,1,137,9,Some Random Commen with Id 178
